stage_id,ranking,rider_time,rider_name,rider_country,rider_team,rider_age
18,108,13733,Gorka Izagirre,Spain,Bahrain-Merida,30
18,109,13741,Marco Marcato,Italy,UAE Team Emirates,34
18,110,13751,Olivier Le Gac,France,Groupama-FDJ,24
18,111,13751,Thomas De Gendt,Belgium,Lotto-Soudal,31
18,112,13751,Antwan Tolhoek,Netherlands,LottoNL-Jumbo,24
18,113,13751,Nicolas Edet,France,Cofidis,30
18,114,13751,Gregor Mühlberger,Austria,Bora-Hansgrohe,24
18,115,13751,Jesper Hansen,Denmark,Astana,27
18,116,13751,Lukas Pöstlberger,Austria,Bora-Hansgrohe,26
18,117,13751,Rafal Majka,Poland,Bora-Hansgrohe,28
18,118,13751,Adam Yates,Great Britain,Mitchelton-Scott,25
18,119,13751,Mikel Nieve,Spain,Mitchelton-Scott,34
18,120,13751,Pawel Poljanski,Poland,Bora-Hansgrohe,28
18,121,13751,Daniel Navarro,Spain,Cofidis,34
18,122,13756,Anthony Perez,France,Cofidis,27
18,123,13756,Simon Clarke,Australia,EF Education First-Drapac p/b Cannondale,31
18,124,13764,Omar Fraile,Spain,Astana,27
18,125,13764,Jesús Herrada,Spain,Cofidis,27
18,126,13764,Romain Sicard,France,Direct Énergie,30
18,127,13764,Ion Izagirre,Spain,Bahrain-Merida,29
18,128,13764,Damien Gaudin,France,Direct Énergie,31
18,129,13764,Fabien Grellier,France,Direct Énergie,23
18,130,13764,Franco Pellizotti,Italy,Bahrain-Merida,40
18,131,13764,Marc Soler,Spain,Movistar Team,24
18,132,13764,Jonathan Castroviejo,Spain,Team Sky,31
18,133,13764,Élie Gesbert,France,Fortuneo-Samsic,23
18,134,13796,Jelle Vanendert,Belgium,Lotto-Soudal,33
18,135,13796,Julian Alaphilippe,France,Quick-Step Floors,26
18,136,13796,Tom-Jelte Slagter,Netherlands,Team Dimension Data,29
18,137,13796,Darwin Atapuma,Colombia,UAE Team Emirates,30
18,138,13822,Wout Poels,Netherlands,Team Sky,30
18,139,13822,Niki Terpstra,Netherlands,Quick-Step Floors,34
18,140,13828,Thomas Boudat,France,Direct Énergie,24
18,141,13835,Mathew Hayman,Australia,Mitchelton-Scott,40
18,142,13835,Luke Durbridge,Australia,Mitchelton-Scott,27
18,143,13846,Rory Sutherland,Australia,UAE Team Emirates,36
18,144,13846,Ian Boswell,United States,Team Katusha-Alpecin,27
18,145,13846,Tobias Ludvigsson,Sweden,Groupama-FDJ,27
18,146,13888,Lawson Craddock,United States,EF Education First-Drapac p/b Cannondale,26
19,1,19697,Primoz Roglic,Slovenia,LottoNL-Jumbo,28
